utime (s),X (G),Y (G),Z (G)
1713036731.1330101,-0.5830078125,1.09375,1.048828125
1713036731.147229,-0.375,0.7509765625,0.7783203125
1713036731.1614764,-0.1123046875,0.5146484375,0.9580078125
1713036731.175692,0.109375,0.380859375,1.224609375
1713036731.189909,0.1611328125,0.224609375,1.1162109375
1713036731.2041247,0.35546875,-0.0205078125,0.9560546875
1713036731.2183404,0.2392578125,0.2470703125,1.138671875
1713036731.2325873,0.2412109375,0.1357421875,1.1328125
1713036731.246804,0.1552734375,0.3369140625,1.005859375
1713036731.2610211,0.130859375,0.4326171875,1.017578125
1713036731.2752361,0.0595703125,0.5830078125,0.9326171875
1713036731.289448,0.228515625,0.54296875,1.0400390625
1713036731.3036644,0.259765625,0.4306640625,1.23828125
1713036731.3179057,0.2958984375,0.212890625,1.2646484375
1713036731.33219,0.2939453125,0.0458984375,1.201171875
1713036731.3464167,0.1259765625,-0.0205078125,1.0771484375
1713036731.3606386,-0.05078125,-0.01953125,1.044921875
1713036731.3748868,-0.244140625,-0.1015625,1.1162109375
1713036731.3891106,-0.4248046875,-0.2197265625,1.2392578125
1713036731.4033346,-0.494140625,-0.2255859375,1.2900390625
1713036731.4175577,-0.458984375,-0.3486328125,1.33203125
1713036731.431779,-0.0908203125,-0.72265625,0.9130859375
1713036731.4459934,0.0078125,-1.1875,0.0556640625
1713036731.4602103,0.171875,-0.7734375,0.0791015625
1713036731.4744263,0.390625,-1.041015625,0.259765625
1713036731.4886417,0.580078125,-1.119140625,-0.1376953125
1713036731.5028608,0.67578125,-1.107421875,-0.1220703125
1713036731.517075,0.7021484375,-1.08203125,-0.0966796875
1713036731.53129,0.5283203125,-0.8828125,-0.0087890625
1713036731.5455291,0.2265625,-0.6015625,0.59375
1713036731.5597463,-0.09375,-0.1396484375,0.99609375
1713036731.573962,-0.353515625,0.2421875,1.55078125
1713036731.588192,-0.4951171875,0.427734375,1.8388671875
1713036731.6024091,-0.4970703125,0.3095703125,1.763671875
1713036731.6166232,-0.45703125,0.2626953125,1.87890625
1713036731.6308403,-0.4775390625,0.203125,1.9208984375
1713036731.645082,-0.4306640625,0.1083984375,1.712890625
1713036731.659299,-0.2275390625,0.2255859375,1.4765625
1713036731.673516,0.2890625,-0.048828125,1.2744140625
1713036731.68773,1.1083984375,-0.2861328125,0.4423828125
1713036731.7019477,1.84765625,-0.2431640625,-0.8486328125
1713036731.7161636,1.95703125,-0.673828125,-1.82421875
1713036731.73038,1.5654296875,-1.1171875,-1.5234375
1713036731.7446232,0.275390625,-0.4716796875,1.0849609375
1713036731.75884,-0.533203125,-0.5556640625,1.875
1713036731.7730548,-0.98828125,-0.69140625,1.9638671875
1713036731.787272,-1.302734375,-0.3974609375,1.9892578125
1713036731.8014894,-1.2666015625,-0.5751953125,1.9921875
1713036731.815708,-1.044921875,-0.505859375,1.2626953125
1713036731.8309412,-0.9775390625,-0.1484375,0.2431640625
1713036731.8452406,-0.8095703125,-0.1337890625,-0.1796875
1713036731.8594651,-0.7890625,0.1123046875,0.4111328125
1713036731.873685,-0.58984375,-0.0458984375,0.9052734375
1713036731.8879025,-0.0146484375,-0.486328125,0.91796875
1713036731.9021482,0.6669921875,-0.4697265625,0.1201171875
1713036731.9163666,0.9794921875,0.0830078125,-0.357421875
1713036731.930581,1.22265625,0.3056640625,0.0625
1713036731.9448297,1.32421875,0.3369140625,0.4091796875
1713036731.95905,1.49609375,-0.0009765625,0.6298828125
1713036731.9732718,1.568359375,-0.7197265625,0.921875
1713036731.987492,1.083984375,-0.8515625,1.177734375
1713036732.0017118,0.2607421875,-0.6015625,1.1552734375
1713036732.0159278,-0.830078125,-0.3759765625,0.8974609375
1713036732.030149,-1.572265625,0.0078125,1.4111328125
1713036732.0443938,-1.6484375,0.240234375,1.919921875
1713036732.0586154,-1.36328125,-0.3720703125,1.8115234375
1713036732.072838,-0.8779296875,-0.6142578125,1.1005859375
1713036732.0870562,-0.2626953125,-0.71875,0.6328125
1713036732.1012764,0.568359375,-0.59375,0.4541015625
1713036732.1154969,1.328125,-0.392578125,-0.0126953125
1713036732.1297178,1.775390625,-0.2705078125,-0.3583984375
1713036732.1439626,1.8095703125,-0.19140625,-0.0625
1713036732.1581836,1.53125,-0.3671875,0.32421875
1713036732.172404,1.150390625,-0.2705078125,0.771484375
1713036732.1866212,0.634765625,-0.384765625,1.259765625
1713036732.2008507,-0.0732421875,-0.4716796875,1.3759765625
1713036732.21507,-0.7314453125,-0.4384765625,1.3369140625
1713036732.2292905,-1.2978515625,-0.1552734375,1.6484375
1713036732.243511,-1.4140625,0.0751953125,1.94921875
1713036732.2577567,-1.0908203125,-0.4033203125,1.6953125
1713036732.2719736,-0.62890625,-0.4091796875,0.9228515625
1713036732.2861927,-0.1474609375,-0.4580078125,0.439453125
1713036732.300411,0.0712890625,-0.1435546875,0.205078125
1713036732.3146572,0.130859375,0.013671875,0.3515625
1713036732.3288736,0.037109375,0.0771484375,0.6796875
1713036732.3430927,0.0224609375,0.10546875,0.833984375
1713036732.3573365,0.109375,-0.1240234375,1.27734375
1713036732.3715575,0.3134765625,-0.3759765625,1.8154296875
1713036732.3857768,0.197265625,-0.560546875,1.8857421875
1713036732.3999965,-0.6005859375,-0.4453125,1.037109375
1713036732.4141934,-0.064453125,-0.740234375,-0.791015625
1713036732.4284115,0.43359375,-1.6171875,0.9765625
1713036732.442631,0.701171875,-1.9453125,1.1611328125
1713036732.456876,0.6015625,-1.31640625,-0.3720703125
1713036732.4710963,0.5234375,-1.1416015625,0.5537109375
1713036732.485311,0.333984375,-0.5986328125,0.9130859375
1713036732.49953,-0.203125,0.4169921875,0.7646484375
1713036732.5137482,-0.623046875,1.1884765625,1.375
1713036732.5279667,-0.9501953125,1.869140625,1.8994140625
1713036732.5421865,-0.9775390625,1.7275390625,1.9814453125
1713036732.5564308,-0.9833984375,0.88671875,1.6025390625
1713036732.5706465,-0.5751953125,0.0654296875,0.775390625
1713036732.5848937,0.169921875,-1.3857421875,0.4150390625
1713036732.599114,1.046875,-1.916015625,0.2109375
1713036732.6133337,0.814453125,-1.982421875,0.025390625
1713036732.627553,0.96484375,-1.9072265625,0.3720703125
1713036732.6417723,1.001953125,-1.6396484375,0.7763671875
1713036732.6560168,0.7109375,-0.7763671875,0.4765625
1713036732.6702366,0.6533203125,-0.591796875,0.9189453125
1713036732.6844554,0.1201171875,-0.38671875,1.1201171875
1713036732.6986737,-1.126953125,0.8740234375,1.1494140625
